,MI Scores
PC138,0.00010981897853667988
PC6,4.4274356692852734e-05
PC5,0.0
PC111,0.0
PC135,0.0
PC16,0.0
PC139,0.0
PC104,0.0
PC296,0.0
PC19,0.0
PC289,0.0
PC20,0.0
PC12,0.0
PC163,0.0
PC292,0.0
PC55,0.0
PC23,0.0
PC275,0.0
PC58,0.0
PC279,0.0
PC50,0.0
PC66,0.0
PC284,0.0
PC67,0.0
PC44,0.0
PC43,0.0
PC297,0.0
PC266,0.0
PC79,0.0
PC83,0.0
PC89,0.0
PC34,0.0
PC32,0.0
PC31,0.0
PC93,0.0
PC96,0.0
PC97,0.0
